[ 2026-03-27 19:43:35 | node_32 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:35 | node_31 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:35 | node_33 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:35 | node_32 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:35 | node_32 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:35 | node_34 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:35 | node_33 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:35 | node_33 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:35 | node_35 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:35 | node_34 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:35 | node_34 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:35 | node_35 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:35 | node_35 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:35 | node_36 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:35 | node_36 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:35 | node_36 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:35 | node_37 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:35 | node_37 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:35 | node_38 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:35 | node_37 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:36 | node_39 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:36 | node_38 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:36 | node_38 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:36 | node_40 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:36 | node_39 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:36 | node_39 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:36 | node_41 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:36 | node_40 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:36 | node_40 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:36 | node_42 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:36 | node_41 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:36 | node_41 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:36 | node_43 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:36 | node_42 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:36 | node_42 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:36 | node_44 | INFO ] 🧩 Model added for round 141 (2/2) from ['node']
[ 2026-03-27 19:43:36 | node_43 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 19:43:36 | node_43 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 19:43:36 | node_44 | INFO ] 🧠 Aggregation complete. Setting new model.
